borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrium,notes
137,1,li2011,digitized-continuous,2001-01-01,2001-12-31,,,,
138,1,li2011,digitized-continuous,2006-01-01,2006-12-31,,,,
139,1,liu2009,digitized-discrete,2008-06-01,2008-06-30,,,,equilibrium: 'The temperature of the borehole was measured 24 h after completing the drillings in order to eliminate the disturbance of drilling on the natural glacier temperature'
140,1,liu2009,digitized-discrete,2005-08-22,2005-08-22,,,,date_min/date_max: liu2006 | equilibrium: 'The temperature of the borehole was measured 24 h after completing the drillings in order to eliminate the disturbance of drilling on the natural glacier temperature'
141,1,liu2009,digitized-discrete,2007-06-01,2007-06-30,,,,equilibrium: 'The temperature of the borehole was measured 24 h after completing the drillings in order to eliminate the disturbance of drilling on the natural glacier temperature'
142,1,liu2009,digitized-discrete,2005-10-01,2005-10-31,,,,equilibrium: 'The temperature of the borehole was measured 24 h after completing the drillings in order to eliminate the disturbance of drilling on the natural glacier temperature'
143,1,luthi1999,digitized-discrete,1996-06-13,1996-06-18,,,true,
143,2,luthi1999,digitized-discrete,1996-07-19,1996-07-19,,,true,
143,3,luthi1999,digitized-discrete,1997-01-13,1997-01-13,,,true,
143,4,luthi1999,digitized-discrete,1997-07-22,1997-07-22,,,true,
143,5,luthi1999,digitized-discrete,1997-10-18,1997-10-18,,,true,label: CG95-1/97 in hoelzle2011
144,1,luthi1999,digitized-discrete,1996-07-19,1996-07-19,,,true,
144,2,luthi1999,digitized-discrete,1997-01-13,1997-01-13,,,true,
144,3,luthi1999,digitized-discrete,1997-07-22,1997-07-22,,,true,
144,4,luthi1999,digitized-discrete,1997-10-18,1997-10-18,,,true,label: CG95-2/97 in hoelzle2011
145,1,shao1990,published,1987-07-22,1987-07-22,,,,
145,2,shao1990,published,1987-07-29,1987-07-29,,,,
145,3,shao1990,published,1987-08-15,1987-08-15,,,,
145,4,shao1990,published,1987-08-26,1987-08-26,,,,
146,1,shao1990,published,1987-07-22,1987-07-22,,,,
146,2,shao1990,published,1987-07-29,1987-07-29,,,,
146,3,shao1990,published,1987-08-15,1987-08-15,,,,
146,4,shao1990,published,1987-08-26,1987-08-26,,,,
147,1,huang1990,digitized-discrete,1987-08-01,1987-08-31,,,,measurement_origin: Digitized from Figure 1 in zhou1990 via the better reproduction as Figure 2 in huang1990
148,1,shao1990,published,1987-08-24,1987-08-24,,,,
149,1,huang1990,digitized-discrete,1986-09-27,1986-09-27,,,,
150,1,huang1990,digitized-continuous,1986-09-27,1986-09-27,,,,
151,1,huang1990,digitized-continuous,1986-09-27,1986-09-27,,,,
154,1,ginot2006,digitized-discrete,1999-02-01,1999-02-28,,,,
155,1,miles2018,digitized-discrete,2017-05-10,2017-05-27,,,false,
156,1,miles2018,digitized-discrete,2017-05-17,2017-10-31,,,true,
157,1,miles2018,digitized-discrete,2017-05-23,2017-10-31,,,true,
