borehole_id,id,source_id,measurement_origin,date_min,date_max,time,utc_offset,equilibrated,notes
845,215,kronenberg2022b,published,2018-02-06,2018-02-06,08:00:00,,,
845,216,kronenberg2022b,published,2018-02-06,2018-02-06,08:30:00,,,
845,217,kronenberg2022b,published,2018-02-06,2018-02-06,09:00:00,,,
845,218,kronenberg2022b,published,2018-02-06,2018-02-06,09:30:00,,,
845,219,kronenberg2022b,published,2018-02-06,2018-02-06,10:00:00,,,
845,220,kronenberg2022b,published,2018-02-06,2018-02-06,10:30:00,,,
845,221,kronenberg2022b,published,2018-02-06,2018-02-06,11:00:00,,,
845,222,kronenberg2022b,published,2018-02-06,2018-02-06,11:30:00,,,
845,223,kronenberg2022b,published,2018-02-06,2018-02-06,12:00:00,,,
845,224,kronenberg2022b,published,2018-02-06,2018-02-06,12:30:00,,,
845,225,kronenberg2022b,published,2018-02-06,2018-02-06,13:00:00,,,
845,226,kronenberg2022b,published,2018-02-06,2018-02-06,13:30:00,,,
845,227,kronenberg2022b,published,2018-02-06,2018-02-06,14:00:00,,,
845,228,kronenberg2022b,published,2018-02-06,2018-02-06,14:30:00,,,
845,229,kronenberg2022b,published,2018-02-06,2018-02-06,15:00:00,,,
845,230,kronenberg2022b,published,2018-02-06,2018-02-06,15:30:00,,,
845,231,kronenberg2022b,published,2018-02-06,2018-02-06,16:00:00,,,
845,232,kronenberg2022b,published,2018-02-06,2018-02-06,16:30:00,,,
845,233,kronenberg2022b,published,2018-02-06,2018-02-06,17:00:00,,,
845,234,kronenberg2022b,published,2018-02-06,2018-02-06,17:30:00,,,
845,235,kronenberg2022b,published,2018-02-06,2018-02-06,18:00:00,,,
845,236,kronenberg2022b,published,2018-02-06,2018-02-06,18:30:00,,,
845,237,kronenberg2022b,published,2018-02-06,2018-02-06,19:00:00,,,
845,238,kronenberg2022b,published,2018-02-06,2018-02-06,19:30:00,,,
845,239,kronenberg2022b,published,2018-02-06,2018-02-06,20:00:00,,,
845,240,kronenberg2022b,published,2018-02-06,2018-02-06,20:30:00,,,
845,241,kronenberg2022b,published,2018-02-06,2018-02-06,21:00:00,,,
845,242,kronenberg2022b,published,2018-02-06,2018-02-06,21:30:00,,,
845,243,kronenberg2022b,published,2018-02-06,2018-02-06,22:00:00,,,
845,244,kronenberg2022b,published,2018-02-06,2018-02-06,22:30:00,,,
845,245,kronenberg2022b,published,2018-02-06,2018-02-06,23:00:00,,,
845,246,kronenberg2022b,published,2018-02-06,2018-02-06,23:30:00,,,
845,247,kronenberg2022b,published,2018-02-07,2018-02-07,00:00:00,,,
845,248,kronenberg2022b,published,2018-02-07,2018-02-07,00:30:00,,,
845,249,kronenberg2022b,published,2018-02-07,2018-02-07,01:00:00,,,
845,250,kronenberg2022b,published,2018-02-07,2018-02-07,01:30:00,,,
845,251,kronenberg2022b,published,2018-02-07,2018-02-07,02:00:00,,,
845,252,kronenberg2022b,published,2018-02-07,2018-02-07,02:30:00,,,
845,253,kronenberg2022b,published,2018-02-07,2018-02-07,03:00:00,,,
845,254,kronenberg2022b,published,2018-02-07,2018-02-07,03:30:00,,,
845,255,kronenberg2022b,published,2018-02-07,2018-02-07,04:00:00,,,
845,256,kronenberg2022b,published,2018-02-07,2018-02-07,04:30:00,,,
845,257,kronenberg2022b,published,2018-02-07,2018-02-07,05:00:00,,,
845,258,kronenberg2022b,published,2018-02-07,2018-02-07,05:30:00,,,
845,259,kronenberg2022b,published,2018-02-07,2018-02-07,06:00:00,,,
845,260,kronenberg2022b,published,2018-02-07,2018-02-07,06:30:00,,,
845,261,kronenberg2022b,published,2018-02-07,2018-02-07,07:00:00,,,
845,262,kronenberg2022b,published,2018-02-07,2018-02-07,07:30:00,,,
845,263,kronenberg2022b,published,2018-02-07,2018-02-07,08:00:00,,,
845,264,kronenberg2022b,published,2018-02-07,2018-02-07,08:30:00,,,
845,265,kronenberg2022b,published,2018-02-07,2018-02-07,09:00:00,,,
845,266,kronenberg2022b,published,2018-02-07,2018-02-07,09:30:00,,,
845,267,kronenberg2022b,published,2018-02-07,2018-02-07,10:00:00,,,
845,268,kronenberg2022b,published,2018-02-07,2018-02-07,10:30:00,,,
845,269,kronenberg2022b,published,2018-02-07,2018-02-07,11:00:00,,,
845,270,kronenberg2022b,published,2018-02-07,2018-02-07,11:30:00,,,
845,271,kronenberg2022b,published,2018-02-07,2018-02-07,12:00:00,,,
845,272,kronenberg2022b,published,2018-02-07,2018-02-07,12:30:00,,,
845,273,kronenberg2022b,published,2018-02-07,2018-02-07,13:00:00,,,
845,274,kronenberg2022b,published,2018-02-07,2018-02-07,13:30:00,,,
845,275,kronenberg2022b,published,2018-02-07,2018-02-07,14:00:00,,,
845,276,kronenberg2022b,published,2018-02-07,2018-02-07,14:30:00,,,
845,277,kronenberg2022b,published,2018-02-07,2018-02-07,15:00:00,,,
845,278,kronenberg2022b,published,2018-02-07,2018-02-07,15:30:00,,,
845,279,kronenberg2022b,published,2018-02-07,2018-02-07,16:00:00,,,
845,280,kronenberg2022b,published,2018-02-07,2018-02-07,16:30:00,,,
845,281,kronenberg2022b,published,2018-02-07,2018-02-07,17:00:00,,,
845,282,kronenberg2022b,published,2018-02-07,2018-02-07,17:30:00,,,
845,283,kronenberg2022b,published,2018-02-07,2018-02-07,18:00:00,,,
845,284,kronenberg2022b,published,2018-02-07,2018-02-07,18:30:00,,,
845,285,kronenberg2022b,published,2018-02-07,2018-02-07,19:00:00,,,
845,286,kronenberg2022b,published,2018-02-07,2018-02-07,19:30:00,,,
845,287,kronenberg2022b,published,2018-02-07,2018-02-07,20:00:00,,,
845,288,kronenberg2022b,published,2018-02-07,2018-02-07,20:30:00,,,
845,289,kronenberg2022b,published,2018-02-07,2018-02-07,21:00:00,,,
845,290,kronenberg2022b,published,2018-02-07,2018-02-07,21:30:00,,,
845,291,kronenberg2022b,published,2018-02-07,2018-02-07,22:00:00,,,
845,292,kronenberg2022b,published,2018-02-07,2018-02-07,22:30:00,,,
845,293,kronenberg2022b,published,2018-02-07,2018-02-07,23:00:00,,,
845,294,kronenberg2022b,published,2018-02-07,2018-02-07,23:30:00,,,
845,295,kronenberg2022b,published,2018-02-08,2018-02-08,00:00:00,,,
845,296,kronenberg2022b,published,2018-02-08,2018-02-08,00:30:00,,,
845,297,kronenberg2022b,published,2018-02-08,2018-02-08,01:00:00,,,
845,298,kronenberg2022b,published,2018-02-08,2018-02-08,01:30:00,,,
845,299,kronenberg2022b,published,2018-02-08,2018-02-08,02:00:00,,,
845,300,kronenberg2022b,published,2018-02-08,2018-02-08,02:30:00,,,
845,301,kronenberg2022b,published,2018-02-08,2018-02-08,03:00:00,,,
845,302,kronenberg2022b,published,2018-02-08,2018-02-08,03:30:00,,,
845,303,kronenberg2022b,published,2018-02-08,2018-02-08,04:00:00,,,
845,304,kronenberg2022b,published,2018-02-08,2018-02-08,04:30:00,,,
845,305,kronenberg2022b,published,2018-02-08,2018-02-08,05:00:00,,,
845,306,kronenberg2022b,published,2018-02-08,2018-02-08,05:30:00,,,
845,307,kronenberg2022b,published,2018-02-08,2018-02-08,06:00:00,,,
845,308,kronenberg2022b,published,2018-02-08,2018-02-08,06:30:00,,,
845,309,kronenberg2022b,published,2018-02-08,2018-02-08,07:00:00,,,
845,310,kronenberg2022b,published,2018-02-08,2018-02-08,07:30:00,,,
845,311,kronenberg2022b,published,2018-02-08,2018-02-08,08:00:00,,,
845,312,kronenberg2022b,published,2018-02-08,2018-02-08,08:30:00,,,
845,313,kronenberg2022b,published,2018-02-08,2018-02-08,09:00:00,,,
845,314,kronenberg2022b,published,2018-02-08,2018-02-08,09:30:00,,,
845,315,kronenberg2022b,published,2018-02-08,2018-02-08,10:00:00,,,
845,316,kronenberg2022b,published,2018-02-08,2018-02-08,10:30:00,,,
845,317,kronenberg2022b,published,2018-02-08,2018-02-08,11:00:00,,,
845,318,kronenberg2022b,published,2018-02-08,2018-02-08,11:30:00,,,
845,319,kronenberg2022b,published,2018-02-08,2018-02-08,12:00:00,,,
845,320,kronenberg2022b,published,2018-02-08,2018-02-08,12:30:00,,,
845,321,kronenberg2022b,published,2018-02-08,2018-02-08,13:00:00,,,
845,322,kronenberg2022b,published,2018-02-08,2018-02-08,13:30:00,,,
845,323,kronenberg2022b,published,2018-02-08,2018-02-08,14:00:00,,,
845,324,kronenberg2022b,published,2018-02-08,2018-02-08,14:30:00,,,
845,325,kronenberg2022b,published,2018-02-08,2018-02-08,15:00:00,,,
845,326,kronenberg2022b,published,2018-02-08,2018-02-08,15:30:00,,,
845,327,kronenberg2022b,published,2018-02-08,2018-02-08,16:00:00,,,
845,328,kronenberg2022b,published,2018-02-08,2018-02-08,16:30:00,,,
845,329,kronenberg2022b,published,2018-02-08,2018-02-08,17:00:00,,,
845,330,kronenberg2022b,published,2018-02-08,2018-02-08,17:30:00,,,
845,331,kronenberg2022b,published,2018-02-08,2018-02-08,18:00:00,,,
845,332,kronenberg2022b,published,2018-02-08,2018-02-08,18:30:00,,,
845,333,kronenberg2022b,published,2018-02-08,2018-02-08,19:00:00,,,
845,334,kronenberg2022b,published,2018-02-08,2018-02-08,19:30:00,,,
845,335,kronenberg2022b,published,2018-02-08,2018-02-08,20:00:00,,,
845,336,kronenberg2022b,published,2018-02-08,2018-02-08,20:30:00,,,
845,337,kronenberg2022b,published,2018-02-08,2018-02-08,21:00:00,,,
845,338,kronenberg2022b,published,2018-02-08,2018-02-08,21:30:00,,,
845,339,kronenberg2022b,published,2018-02-08,2018-02-08,22:00:00,,,
845,340,kronenberg2022b,published,2018-02-08,2018-02-08,22:30:00,,,
845,341,kronenberg2022b,published,2018-02-08,2018-02-08,23:00:00,,,
845,342,kronenberg2022b,published,2018-02-08,2018-02-08,23:30:00,,,
845,343,kronenberg2022b,published,2018-02-09,2018-02-09,00:00:00,,,
845,344,kronenberg2022b,published,2018-02-09,2018-02-09,00:30:00,,,
845,345,kronenberg2022b,published,2018-02-09,2018-02-09,01:00:00,,,
845,346,kronenberg2022b,published,2018-02-09,2018-02-09,01:30:00,,,
845,347,kronenberg2022b,published,2018-02-09,2018-02-09,02:00:00,,,
845,348,kronenberg2022b,published,2018-02-09,2018-02-09,02:30:00,,,
845,349,kronenberg2022b,published,2018-02-09,2018-02-09,03:00:00,,,
845,350,kronenberg2022b,published,2018-02-09,2018-02-09,03:30:00,,,
845,351,kronenberg2022b,published,2018-02-09,2018-02-09,04:00:00,,,
845,352,kronenberg2022b,published,2018-02-09,2018-02-09,04:30:00,,,
845,353,kronenberg2022b,published,2018-02-09,2018-02-09,05:00:00,,,
845,354,kronenberg2022b,published,2018-02-09,2018-02-09,05:30:00,,,
845,355,kronenberg2022b,published,2018-02-09,2018-02-09,06:00:00,,,
845,356,kronenberg2022b,published,2018-02-09,2018-02-09,06:30:00,,,
845,357,kronenberg2022b,published,2018-02-09,2018-02-09,07:00:00,,,
845,358,kronenberg2022b,published,2018-02-09,2018-02-09,07:30:00,,,
845,359,kronenberg2022b,published,2018-02-09,2018-02-09,08:00:00,,,
845,360,kronenberg2022b,published,2018-02-09,2018-02-09,08:30:00,,,
845,361,kronenberg2022b,published,2018-02-09,2018-02-09,09:00:00,,,
